Code,Description,Category,Label,Type,Weight,MDC,Post Acute,Special Pay,LOS Mean,Geo LOS Mean
12,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITH CC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",CC,SURG,3.9095,PRE,No,No,9.6,8.4
13,"TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY WITHOUT CC/MCC","TRACHEOSTOMY FOR FACE, MOUTH AND NECK DIAGNOSES OR LARYNGECTOMY",None,SURG,2.8283,PRE,No,No,7.2,6.4
14,ALLOGENEIC BONE MARROW TRANSPLANT,ALLOGENEIC BONE MARROW TRANSPLANT,Others,MED,11.1930,PRE,No,No,28.6,25.7
16,AUTOLOGOUS BONE MARROW TRANSPLANT WITH CC/MCC,AUTOLOGOUS BONE MARROW TRANSPLANT,Both,MED,6.0844,PRE,No,No,17.6,16.6
17,AUTOLOGOUS BONE MARROW TRANSPLANT WITHOUT CC/MCC,AUTOLOGOUS BONE MARROW TRANSPLANT,None,MED,4.3701,PRE,No,No,10.5,7.3
18,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,CHIMERIC ANTIGEN RECEPTOR (CAR) T-CELL AND OTHER IMMUNOTHERAPIES,Others,MED,36.1452,PRE,No,No,17.4,14.7
19,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,SIMULTANEOUS PANCREAS AND KIDNEY TRANSPLANT WITH HEMODIALYSIS,Others,SURG,7.1346,PRE,No,No,11.9,10.8
20,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH MCC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,MCC,SURG,9.3033,01,No,No,14.2,10.7
21,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITH CC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,CC,SURG,6.7892,01,No,No,10.8,8.1
22,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE WITHOUT CC/MCC,INTRACRANIAL VASCULAR PROCEDURES WITH PRINCIPAL DIAGNOSIS HEMORRHAGE,None,SURG,4.3585,01,No,No,4.9,3.2
23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC OR CHEMOTHERAPY IMPLANT OR EPILEPSY WITH NEUROSTIMULATOR,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS,MCC,SURG,5.7314,01,Yes,Yes,10.2,7.3
24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MCC,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS,NO MCC,SURG,3.9488,01,Yes,Yes,5.2,4.1
25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES,MCC,SURG,4.5405,01,Yes,No,9.0,6.6
26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES,CC,SURG,3.0235,01,Yes,No,5.1,3.6
27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES,None,SURG,2.4954,01,Yes,No,2.4,1.8
28,SPINAL PROCEDURES WITH MCC,SPINAL PROCEDURES,MCC,SURG,5.8775,01,Yes,Yes,12.3,9.8
29,SPINAL PROCEDURES WITH CC OR SPINAL NEUROSTIMULATORS,SPINAL PROCEDURES,CC,SURG,3.4176,01,Yes,Yes,6.3,4.9
30,SPINAL PROCEDURES WITHOUT CC/MCC,SPINAL PROCEDURES,None,SURG,2.3412,01,Yes,Yes,3.5,2.7
31,VENTRICULAR SHUNT PROCEDURES WITH MCC,VENTRICULAR SHUNT PROCEDURES,MCC,SURG,4.1210,01,Yes,No,10.4,6.9
32,VENTRICULAR SHUNT PROCEDURES WITH CC,VENTRICULAR SHUNT PROCEDURES,CC,SURG,2.0545,01,Yes,No,3.9,2.7
33,VENTRICULAR SHUNT PROCEDURES WITHOUT CC/MCC,VENTRICULAR SHUNT PROCEDURES,None,SURG,1.6985,01,Yes,No,2.0,1.6
34,CAROTID ARTERY STENT PROCEDURES WITH MCC,CAROTID ARTERY STENT PROCEDURES,MCC,SURG,3.9994,01,No,No,7.5,5.1
35,CAROTID ARTERY STENT PROCEDURES WITH CC,CAROTID ARTERY STENT PROCEDURES,CC,SURG,2.2838,01,No,No,2.8,2.0
36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,CAROTID ARTERY STENT PROCEDURES,None,SURG,1.8807,01,No,No,1.4,1.2
37,EXTRACRANIAL PROCEDURES WITH MCC,EXTRACRANIAL PROCEDURES,MCC,SURG,3.3730,01,No,No,7.5,5.0
38,EXTRACRANIAL PROCEDURES WITH CC,EXTRACRANIAL PROCEDURES,CC,SURG,1.6355,01,No,No,2.8,1.9
39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,EXTRACRANIAL PROCEDURES,None,SURG,1.1527,01,No,No,1.4,1.2
40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES",MCC,SURG,3.7884,01,Yes,Yes,9.8,7.0
41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES",CC,SURG,2.3381,01,Yes,Yes,5.0,3.9
42,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC","PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES",None,SURG,1.8497,01,Yes,Yes,3.0,2.4
52,SPINAL DISORDERS AND INJURIES WITH CC/MCC,SPINAL DISORDERS AND INJURIES,Both,MED,1.7803,01,No,No,6.0,4.1
53,SPINAL DISORDERS AND INJURIES WITHOUT CC/MCC,SPINAL DISORDERS AND INJURIES,None,MED,1.0228,01,No,No,3.1,2.5
54,NERVOUS SYSTEM NEOPLASMS WITH MCC,NERVOUS SYSTEM NEOPLASMS,MCC,MED,1.3870,01,Yes,No,5.3,3.8
55,NERVOUS SYSTEM NEOPLASMS WITHOUT MCC,NERVOUS SYSTEM NEOPLASMS,NO MCC,MED,1.0083,01,Yes,No,3.9,2.9
56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,DEGENERATIVE NERVOUS SYSTEM DISORDERS,MCC,MED,2.2308,01,Yes,No,8.5,5.7
57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,DEGENERATIVE NERVOUS SYSTEM DISORDERS,NO MCC,MED,1.3015,01,Yes,No,5.8,3.8
58,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH MCC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA,MCC,MED,1.7253,01,No,No,6.5,4.8
59,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITH CC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA,CC,MED,1.1435,01,No,No,4.6,3.5
60,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA WITHOUT CC/MCC,MULTIPLE SCLEROSIS AND CEREBELLAR ATAXIA,None,MED,0.9063,01,No,No,3.6,2.9
61,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH MCC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT",MCC,MED,2.9326,01,No,No,6.6,4.9
62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITH CC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT",CC,MED,1.9172,01,No,No,3.7,3.2
63,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WITHOUT CC/MCC","ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT",None,MED,1.5810,01,No,No,2.5,2.3
64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,MCC,MED,1.9720,01,Yes,No,6.3,4.5
65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,CC,MED,1.0164,01,Yes,No,3.6,2.9
66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION,None,MED,0.6985,01,Yes,No,2.3,1.9
67,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITH MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION,MCC,MED,1.4141,01,No,No,4.5,3.3
68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION,NO MCC,MED,0.9037,01,No,No,2.6,2.1
69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,Others,MED,0.7979,01,No,No,2.5,2.0
70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,NONSPECIFIC CEREBROVASCULAR DISORDERS,MCC,MED,1.7242,01,Yes,No,6.5,4.6
71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,NONSPECIFIC CEREBROVASCULAR DISORDERS,CC,MED,1.0690,01,Yes,No,4.6,3.4
72,NONSPECIFIC CEREBROVASCULAR DISORDERS WITHOUT CC/MCC,NONSPECIFIC CEREBROVASCULAR DISORDERS,None,MED,0.7720,01,Yes,No,2.9,2.3
73,CRANIAL AND PERIPHERAL NERVE DISORDERS WITH MCC,CRANIAL AND PERIPHERAL NERVE DISORDERS,MCC,MED,1.4993,01,No,No,5.4,3.8
74,CRANIAL AND PERIPHERAL NERVE DISORDERS WITHOUT MCC,CRANIAL AND PERIPHERAL NERVE DISORDERS,NO MCC,MED,1.0236,01,No,No,3.7,2.8
75,VIRAL MENINGITIS WITH CC/MCC,VIRAL MENINGITIS,Both,MED,1.8250,01,No,No,7.2,5.4
76,VIRAL MENINGITIS WITHOUT CC/MCC,VIRAL MENINGITIS,None,MED,0.9873,01,No,No,4.3,3.4
77,HYPERTENSIVE ENCEPHALOPATHY WITH MCC,HYPERTENSIVE ENCEPHALOPATHY,MCC,MED,1.5642,01,No,No,5.4,4.1
78,HYPERTENSIVE ENCEPHALOPATHY WITH CC,HYPERTENSIVE ENCEPHALOPATHY,CC,MED,0.9928,01,No,No,3.6,2.8
79,HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC,HYPERTENSIVE ENCEPHALOPATHY,None,MED,0.7339,01,No,No,2.4,2.0
80,NONTRAUMATIC STUPOR AND COMA WITH MCC,NONTRAUMATIC STUPOR AND COMA,MCC,MED,2.0398,01,No,No,7.5,5.1
81,NONTRAUMATIC STUPOR AND COMA WITHOUT MCC,NONTRAUMATIC STUPOR AND COMA,NO MCC,MED,0.8985,01,No,No,3.7,2.7
82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,TRAUMATIC STUPOR AND COMA >1 HOUR,MCC,MED,2.2653,01,No,No,6.7,4.4
83,TRAUMATIC STUPOR AND COMA >1 HOUR WITH CC,TRAUMATIC STUPOR AND COMA >1 HOUR,CC,MED,1.3482,01,No,No,4.3,3.3
84,TRAUMATIC STUPOR AND COMA >1 HOUR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA >1 HOUR,None,MED,0.9165,01,No,No,2.6,2.1
85,TRAUMATIC STUPOR AND COMA <1 HOUR WITH MCC,TRAUMATIC STUPOR AND COMA <1 HOUR,MCC,MED,2.3357,01,Yes,No,6.5,4.6
86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,TRAUMATIC STUPOR AND COMA <1 HOUR,CC,MED,1.2997,01,Yes,No,3.8,2.9
87,TRAUMATIC STUPOR AND COMA <1 HOUR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA <1 HOUR,None,MED,0.8724,01,Yes,No,2.4,2.0
88,CONCUSSION WITH MCC,CONCUSSION,MCC,MED,1.5763,01,No,No,5.0,3.6
89,CONCUSSION WITH CC,CONCUSSION,CC,MED,1.1677,01,No,No,3.3,2.5
90,CONCUSSION WITHOUT CC/MCC,CONCUSSION,None,MED,0.8231,01,No,No,2.1,1.8
91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,OTHER DISORDERS OF NERVOUS SYSTEM,MCC,MED,1.7274,01,Yes,No,6.2,4.3
92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,OTHER DISORDERS OF NERVOUS SYSTEM,CC,MED,0.9943,01,Yes,No,3.9,2.9
93,OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC,OTHER DISORDERS OF NERVOUS SYSTEM,None,MED,0.7648,01,Yes,No,2.7,2.1
94,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,MCC,MED,3.5735,01,No,No,10.9,8.1
95,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,CC,MED,2.5568,01,No,No,7.3,5.9
96,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC,BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM,None,MED,2.2843,01,No,No,5.4,4.5
97,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,MCC,MED,3.8882,01,No,No,12.4,9.1
98,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,CC,MED,2.0842,01,No,No,7.6,5.8
99,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS,None,MED,1.3985,01,No,No,4.6,3.7
100,SEIZURES WITH MCC,SEIZURES,MCC,MED,1.9210,01,Yes,No,6.3,4.4
101,SEIZURES WITHOUT MCC,SEIZURES,NO MCC,MED,0.9015,01,Yes,No,3.4,2.6
102,HEADACHES WITH MCC,HEADACHES,MCC,MED,1.1499,01,No,No,4.1,3.0
103,HEADACHES WITHOUT MCC,HEADACHES,NO MCC,MED,0.8325,01,No,No,3.0,2.3
113,ORBITAL PROCEDURES WITH CC/MCC,ORBITAL PROCEDURES,Both,SURG,2.2453,02,No,No,6.1,4.5
114,ORBITAL PROCEDURES WITHOUT CC/MCC,ORBITAL PROCEDURES,None,SURG,1.3028,02,No,No,2.9,2.3
115,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,EXTRAOCULAR PROCEDURES EXCEPT ORBIT,Others,SURG,1.5191,02,No,No,5.0,3.8
116,INTRAOCULAR PROCEDURES WITH CC/MCC,INTRAOCULAR PROCEDURES,Both,SURG,1.8865,02,No,No,6.2,4.1
117,INTRAOCULAR PROCEDURES WITHOUT CC/MCC,INTRAOCULAR PROCEDURES,None,SURG,0.9928,02,No,No,2.7,2.1
121,ACUTE MAJOR EYE INFECTIONS WITH CC/MCC,ACUTE MAJOR EYE INFECTIONS,Both,MED,1.2253,02,No,No,5.5,4.2
122,ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC,ACUTE MAJOR EYE INFECTIONS,None,MED,0.6908,02,No,No,3.5,2.8
123,NEUROLOGICAL EYE DISORDERS,NEUROLOGICAL EYE DISORDERS,Others,MED,0.7938,02,No,No,2.5,2.0
124,OTHER DISORDERS OF THE EYE WITH MCC,OTHER DISORDERS OF THE EYE,MCC,MED,1.4007,02,No,No,5.3,3.6
125,OTHER DISORDERS OF THE EYE WITHOUT MCC,OTHER DISORDERS OF THE EYE,NO MCC,MED,0.8621,02,No,No,3.4,2.5
135,SINUS AND MASTOID PROCEDURES WITH CC/MCC,SINUS AND MASTOID PROCEDURES,Both,SURG,2.4507,03,No,No,6.8,4.7
136,SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC,SINUS AND MASTOID PROCEDURES,None,SURG,1.1603,03,No,No,2.1,1.6
137,MOUTH PROCEDURES WITH CC/MCC,MOUTH PROCEDURES,Both,SURG,1.4996,03,No,No,4.9,3.4
138,MOUTH PROCEDURES WITHOUT CC/MCC,MOUTH PROCEDURES,None,SURG,0.8843,03,No,No,2.2,1.8
139,SALIVARY GLAND PROCEDURES,SALIVARY GLAND PROCEDURES,Others,SURG,1.2575,03,No,No,3.1,2.1
140,MAJOR HEAD AND NECK PROCEDURES WITH MCC,MAJOR HEAD AND NECK PROCEDURES,MCC,SURG,4.1563,03,No,No,9.6,7.2
141,MAJOR HEAD AND NECK PROCEDURES WITH CC,MAJOR HEAD AND NECK PROCEDURES,CC,SURG,2.2326,03,No,No,4.4,3.3
142,MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC,MAJOR HEAD AND NECK PROCEDURES,None,SURG,1.7017,03,No,No,2.7,2.1
143,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH MCC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES",MCC,SURG,3.1726,03,No,No,8.5,5.8
144,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITH CC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES",CC,SURG,1.8093,03,No,No,4.1,3.0
145,"OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC","OTHER EAR, NOSE, MOUTH AND THROAT O.R. PROCEDURES",None,SURG,1.2078,03,No,No,2.3,1.8
146,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH MCC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY",MCC,MED,2.0142,03,No,No,7.8,5.4
147,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITH CC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY",CC,MED,1.2111,03,No,No,4.6,3.5
148,"EAR, NOSE, MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC","EAR, NOSE, MOUTH AND THROAT MALIGNANCY",None,MED,0.8176,03,No,No,2.9,2.2
149,DYSEQUILIBRIUM,DYSEQUILIBRIUM,Others,MED,0.7550,03,No,No,2.4,1.9
150,EPISTAXIS WITH MCC,EPISTAXIS,MCC,MED,1.3793,03,No,No,4.8,3.5
151,EPISTAXIS WITHOUT MCC,EPISTAXIS,NO MCC,MED,0.7710,03,No,No,2.7,2.2
152,OTITIS MEDIA AND URI WITH MCC,OTITIS MEDIA AND URI,MCC,MED,1.1977,03,No,No,4.6,3.4
153,OTITIS MEDIA AND URI WITHOUT MCC,OTITIS MEDIA AND URI,NO MCC,MED,0.6905,03,No,No,2.7,2.2
154,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH MCC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES",MCC,MED,1.5029,03,No,No,5.6,4.0
155,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITH CC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES",CC,MED,0.9193,03,No,No,3.6,2.8
156,"OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC","OTHER EAR, NOSE, MOUTH AND THROAT DIAGNOSES",None,MED,0.6817,03,No,No,2.6,2.1
157,DENTAL AND ORAL DISEASES WITH MCC,DENTAL AND ORAL DISEASES,MCC,MED,1.6718,03,No,No,6.2,4.4
158,DENTAL AND ORAL DISEASES WITH CC,DENTAL AND ORAL DISEASES,CC,MED,0.9291,03,No,No,3.5,2.8
159,DENTAL AND ORAL DISEASES WITHOUT CC/MCC,DENTAL AND ORAL DISEASES,None,MED,0.7499,03,No,No,2.7,2.2
163,MAJOR CHEST PROCEDURES WITH MCC,MAJOR CHEST PROCEDURES,MCC,SURG,4.8437,04,Yes,No,10.6,8.1
164,MAJOR CHEST PROCEDURES WITH CC,MAJOR CHEST PROCEDURES,CC,SURG,2.5827,04,Yes,No,4.9,3.9
165,MAJOR CHEST PROCEDURES WITHOUT CC/MCC,MAJOR CHEST PROCEDURES,None,SURG,1.9269,04,Yes,No,2.8,2.3
166,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES,MCC,SURG,3.6658,04,Yes,No,10.0,7.4
167,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES,CC,SURG,1.9011,04,Yes,No,4.6,3.5
168,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES,None,SURG,1.4176,04,Yes,No,2.4,1.9
175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,PULMONARY EMBOLISM,MCC,MED,1.3968,04,Yes,No,5.0,3.9
176,PULMONARY EMBOLISM WITHOUT MCC,PULMONARY EMBOLISM,NO MCC,MED,0.8176,04,Yes,No,3.0,2.5
177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,RESPIRATORY INFECTIONS AND INFLAMMATIONS,MCC,MED,1.7799,04,Yes,No,6.8,5.2
178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,RESPIRATORY INFECTIONS AND INFLAMMATIONS,CC,MED,1.0870,04,Yes,No,4.6,3.6
179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,RESPIRATORY INFECTIONS AND INFLAMMATIONS,None,MED,0.7854,04,Yes,No,3.5,2.7
180,RESPIRATORY NEOPLASMS WITH MCC,RESPIRATORY NEOPLASMS,MCC,MED,1.6939,04,No,No,6.3,4.7
181,RESPIRATORY NEOPLASMS WITH CC,RESPIRATORY NEOPLASMS,CC,MED,1.1337,04,No,No,4.2,3.2
182,RESPIRATORY NEOPLASMS WITHOUT CC/MCC,RESPIRATORY NEOPLASMS,None,MED,0.8875,04,No,No,2.7,2.2
183,MAJOR CHEST TRAUMA WITH MCC,MAJOR CHEST TRAUMA,MCC,MED,1.5022,04,No,No,5.5,4.3
184,MAJOR CHEST TRAUMA WITH CC,MAJOR CHEST TRAUMA,CC,MED,1.0452,04,No,No,3.7,3.0
185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,MAJOR CHEST TRAUMA,None,MED,0.7550,04,No,No,2.6,2.2
186,PLEURAL EFFUSION WITH MCC,PLEURAL EFFUSION,MCC,MED,1.5268,04,Yes,No,5.6,4.3
187,PLEURAL EFFUSION WITH CC,PLEURAL EFFUSION,CC,MED,1.0459,04,Yes,No,3.9,3.1
188,PLEURAL EFFUSION WITHOUT CC/MCC,PLEURAL EFFUSION,None,MED,0.7240,04,Yes,No,2.8,2.3
189,PULMONARY EDEMA AND RESPIRATORY FAILURE,PULMONARY EDEMA AND RESPIRATORY FAILURE,Others,MED,1.2070,04,No,No,4.7,3.5
190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,MCC,MED,1.0855,04,Yes,No,4.3,3.4
191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,CC,MED,0.8642,04,Yes,No,3.3,2.7
192,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC,CHRONIC OBSTRUCTIVE PULMONARY DISEASE,None,MED,0.6521,04,Yes,No,2.6,2.2
193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,SIMPLE PNEUMONIA AND PLEURISY,MCC,MED,1.2987,04,Yes,No,5.1,4.0
