HCPCS,DESCRIPTION,STATUS CODE,Outpatient RVU,Inpatient RVU,IN_OUT_RVU,GLOB_DAYS
A4224,Supply insulin inf cath/wk,X,0,0,0,XXX
A4225,Sup/ext insulin inf pump syr,X,0,0,0,XXX
A4226,Weekly supply maint cgs pump,I,0,0,0,XXX
A4230,Infus insulin pump non needl,X,0,0,0,XXX
A4231,Infusion insulin pump needle,X,0,0,0,XXX
A4232,Syringe w/needle insulin 3cc,I,0,0,0,XXX
A4233,Alkalin batt for glucose mon,X,0,0,0,XXX
A4234,J-cell batt for glucose mon,X,0,0,0,XXX
A4235,Lithium batt for glucose mon,X,0,0,0,XXX
A4236,Silvr oxide batt glucose mon,X,0,0,0,XXX
A4238,Adju cgm supply allowance,X,0,0,0,XXX
A4239,Non-adju cgm supply allow,P,0,0,0,XXX
A4244,Alcohol or peroxide per pint,X,0,0,0,XXX
A4245,Alcohol wipes per box,X,0,0,0,XXX
A4246,Betadine/phisohex solution,X,0,0,0,XXX
A4247,Betadine/iodine swabs/wipes,X,0,0,0,XXX
A4248,Chlorhexidine antisept,X,0,0,0,XXX
A4250,Urine reagent strips/tablets,N,0,0,0,XXX
A4252,Blood ketone test or strip,N,0,0,0,XXX
A4253,Blood glucose/reagent strips,P,0,0,0,XXX
A4255,Glucose monitor platforms,X,0,0,0,XXX
A4256,Calibrator solution/chips,P,0,0,0,XXX
A4257,Replace lensshield cartridge,X,0,0,0,XXX
A4258,Lancet device each,P,0,0,0,XXX
A4259,Lancets per box,P,0,0,0,XXX
A4261,Cervical cap contraceptive,N,0,0,0,XXX
A4262,Temporary tear duct plug,B,0,0,0,XXX
A4263,Permanent tear duct plug,B,0,0,0,XXX
A4264,Intratubal occlusion device,I,0,0,0,XXX
A4265,Paraffin,P,0,0,0,XXX
A4266,Diaphragm,I,0,0,0,XXX
A4267,Male condom,I,0,0,0,XXX
A4268,Female condom,I,0,0,0,XXX
A4269,Spermicide,I,0,0,0,XXX
A4270,Disposable endoscope sheath,B,0,0,0,XXX
A4280,Brst prsths adhsv attchmnt,X,0,0,0,XXX
A4281,Replacement breastpump tube,X,0,0,0,XXX
A4282,Replacement breastpump adpt,X,0,0,0,XXX
A4283,Replacement breastpump cap,X,0,0,0,XXX
A4284,Replcmnt breast pump shield,X,0,0,0,XXX
A4285,Replcmnt breast pump bottle,X,0,0,0,XXX
A4286,Replcmnt breastpump lok ring,X,0,0,0,XXX
A4287,Disp col sto bag breast milk,X,0,0,0,XXX
A4290,Sacral nerve stim test lead,X,0,0,0,XXX
A4300,Cath impl vasc access portal,B,0,0,0,XXX
A4301,Implantable access syst perc,P,0,0,0,XXX
A4305,Drug delivery system >=50 ml,P,0,0,0,XXX
A4306,Drug delivery system <=50 ml,P,0,0,0,XXX
A4310,Insert tray w/o bag/cath,P,0,0,0,XXX
A4311,Catheter w/o bag 2-way latex,P,0,0,0,XXX
A4312,Cath w/o bag 2-way silicone,P,0,0,0,XXX
A4313,Catheter w/bag 3-way,P,0,0,0,XXX
A4314,Cath w/drainage 2-way latex,P,0,0,0,XXX
A4315,Cath w/drainage 2-way silcne,P,0,0,0,XXX
A4316,Cath w/drainage 3-way,P,0,0,0,XXX
A4320,Irrigation tray,P,0,0,0,XXX
A4321,Cath therapeutic irrig agent,X,0,0,0,XXX
A4322,Irrigation syringe,P,0,0,0,XXX
A4326,Male external catheter,P,0,0,0,XXX
A4327,Fem urinary collect dev cup,P,0,0,0,XXX
A4328,Fem urinary collect pouch,P,0,0,0,XXX
A4330,Stool collection pouch,P,0,0,0,XXX
A4331,Extension drainage tubing,X,0,0,0,XXX
A4332,Lube sterile packet,X,0,0,0,XXX
A4333,Urinary cath anchor device,X,0,0,0,XXX
A4334,Urinary cath leg strap,X,0,0,0,XXX
A4335,Incontinence supply,P,0,0,0,XXX
A4336,Urethral insert,X,0,0,0,XXX
A4337,Incontinent rectal insert,X,0,0,0,XXX
A4338,Indwelling catheter latex,P,0,0,0,XXX
A4340,Indwelling catheter special,P,0,0,0,XXX
A4341,Iduc valve pat inst repl,X,0,0,0,XXX
A4342,Iduc valve sply repl,X,0,0,0,XXX
A4344,Cath indw foley 2 way silicn,P,0,0,0,XXX
A4346,Cath indw foley 3 way,P,0,0,0,XXX
A4349,Disposable male external cat,X,0,0,0,XXX
A4351,Straight tip urine catheter,P,0,0,0,XXX
A4352,Coude tip urinary catheter,P,0,0,0,XXX
A4353,Intermittent urinary cath,X,0,0,0,XXX
A4354,Cath insertion tray w/bag,P,0,0,0,XXX
A4355,Bladder irrigation tubing,P,0,0,0,XXX
A4356,Ext ureth clmp or compr dvc,P,0,0,0,XXX
A4357,Bedside drainage bag,P,0,0,0,XXX
A4358,Urinary leg or abdomen bag,P,0,0,0,XXX
A4360,Disposable ext urethral dev,X,0,0,0,XXX
A4361,Ostomy face plate,P,0,0,0,XXX
A4362,Solid skin barrier,P,0,0,0,XXX
A4363,"Ostomy clamp, replacement",X,0,0,0,XXX
A4364,"Adhesive, liquid or equal",P,0,0,0,XXX
A4366,Ostomy vent,X,0,0,0,XXX
A4367,Ostomy belt,P,0,0,0,XXX
A4368,Ostomy filter,X,0,0,0,XXX
A4369,Skin barrier liquid per oz,X,0,0,0,XXX
A4371,Skin barrier powder per oz,X,0,0,0,XXX
A4372,Skin barrier solid 4x4 equiv,X,0,0,0,XXX
A4373,Skin barrier with flange,X,0,0,0,XXX
A4375,Drainable plastic pch w fcpl,X,0,0,0,XXX
A4376,Drainable rubber pch w fcplt,X,0,0,0,XXX
A4377,Drainable plstic pch w/o fp,X,0,0,0,XXX
A4378,Drainable rubber pch w/o fp,X,0,0,0,XXX
A4379,Urinary plastic pouch w fcpl,X,0,0,0,XXX
A4380,Urinary rubber pouch w fcplt,X,0,0,0,XXX
A4381,Urinary plastic pouch w/o fp,X,0,0,0,XXX
A4382,Urinary hvy plstc pch w/o fp,X,0,0,0,XXX
A4383,Urinary rubber pouch w/o fp,X,0,0,0,XXX
A4384,Ostomy faceplt/silicone ring,X,0,0,0,XXX
A4385,Ost skn barrier sld ext wear,X,0,0,0,XXX
A4387,Ost clsd pouch w att st barr,X,0,0,0,XXX
A4388,Drainable pch w ex wear barr,X,0,0,0,XXX
A4389,Drainable pch w st wear barr,X,0,0,0,XXX
A4390,Drainable pch ex wear convex,X,0,0,0,XXX
A4391,Urinary pouch w ex wear barr,X,0,0,0,XXX
A4392,Urinary pouch w st wear barr,X,0,0,0,XXX
A4393,Urine pch w ex wear bar conv,X,0,0,0,XXX
A4394,Ostomy pouch liq deodorant,X,0,0,0,XXX
A4395,Ostomy pouch solid deodorant,X,0,0,0,XXX
A4396,Peristomal hernia supprt blt,X,0,0,0,XXX
A4398,Ostomy irrigation bag,P,0,0,0,XXX
A4399,Ostomy irrig cone/cath w brs,P,0,0,0,XXX
A4400,Ostomy irrigation set,P,0,0,0,XXX
A4402,Lubricant per ounce,P,0,0,0,XXX
A4404,Ostomy ring each,P,0,0,0,XXX
A4405,Nonpectin based ostomy paste,X,0,0,0,XXX
A4406,Pectin based ostomy paste,X,0,0,0,XXX
A4407,"Ext wear ost skn barr <=4sq""",X,0,0,0,XXX
A4408,"Ext wear ost skn barr >4sq""",X,0,0,0,XXX
A4409,Ost skn barr convex <=4 sq i,X,0,0,0,XXX
A4410,Ost skn barr extnd >4 sq,X,0,0,0,XXX
A4411,Ost skn barr extnd =4sq,X,0,0,0,XXX
A4412,Ost pouch drain high output,X,0,0,0,XXX
A4413,2 pc drainable ost pouch,X,0,0,0,XXX
A4414,Ost sknbar w/o conv<=4 sq in,X,0,0,0,XXX
A4415,Ost skn barr w/o conv >4 sqi,X,0,0,0,XXX
A4416,Ost pch clsd w barrier/filtr,X,0,0,0,XXX
A4417,Ost pch w bar/bltinconv/fltr,X,0,0,0,XXX
A4418,Ost pch clsd w/o bar w filtr,X,0,0,0,XXX
A4419,Ost pch for bar w flange/flt,X,0,0,0,XXX
A4420,Ost pch clsd for bar w lk fl,X,0,0,0,XXX
A4421,Ostomy supply misc,X,0,0,0,XXX
A4422,Ost pouch absorbent material,X,0,0,0,XXX
A4423,Ost pch for bar w lk fl/fltr,X,0,0,0,XXX
A4424,Ost pch drain w bar & filter,X,0,0,0,XXX
A4425,Ost pch drain for barrier fl,X,0,0,0,XXX
A4426,Ost pch drain 2 piece system,X,0,0,0,XXX
A4427,Ost pch drain/barr lk flng/f,X,0,0,0,XXX
A4428,Urine ost pouch w faucet/tap,X,0,0,0,XXX
A4429,Urine ost pouch w bltinconv,X,0,0,0,XXX
A4430,Ost urine pch w b/bltin conv,X,0,0,0,XXX
A4431,Ost pch urine w barrier/tapv,X,0,0,0,XXX
A4432,Os pch urine w bar/fange/tap,X,0,0,0,XXX
A4433,Urine ost pch bar w lock fln,X,0,0,0,XXX
A4434,Ost pch urine w lock flng/ft,X,0,0,0,XXX
A4435,1pc ost pch drain hgh output,X,0,0,0,XXX
A4436,Irr supply sleev reus per mo,P,0,0,0,XXX
A4437,Irr supply sleev disp per mo,P,0,0,0,XXX
A4450,Non-waterproof tape,X,0,0,0,XXX
A4452,Waterproof tape,X,0,0,0,XXX
A4453,Rec cath man pump enema repl,X,0,0,0,XXX
A4455,Adhesive remover per ounce,P,0,0,0,XXX
A4456,"Adhesive remover, wipes",X,0,0,0,XXX
A4457,Enema tube any type repl,N,0,0,0,XXX
A4458,Reusable enema bag,X,0,0,0,XXX
A4459,"Manual pump enema, reusable",X,0,0,0,XXX
A4461,Surgicl dress hold non-reuse,X,0,0,0,XXX
A4463,Surgical dress holder reuse,X,0,0,0,XXX
A4465,Non-elastic extremity binder,P,0,0,0,XXX
A4467,Belt strap sleev grmnt cover,N,0,0,0,XXX
A4468,Exsuff belt incl all sup acc,N,0,0,0,XXX
A4470,Gravlee jet washer,P,0,0,0,XXX
A4480,Vabra aspirator,P,0,0,0,XXX
A4481,Tracheostoma filter,X,0,0,0,XXX
A4483,Moisture exchanger,X,0,0,0,XXX
A4490,Above knee surgical stocking,N,0,0,0,XXX
A4495,Thigh length surg stocking,N,0,0,0,XXX
A4500,Below knee surgical stocking,N,0,0,0,XXX
A4510,Full length surg stocking,N,0,0,0,XXX
A4520,Incontinence garment anytype,N,0,0,0,XXX
A4540,Trans elec nerv periph nerv,N,0,0,0,XXX
A4541,Monthly supp use with e0733,X,0,0,0,XXX
A4542,Supp ext up limb tremor stim,X,0,0,0,XXX
A4550,Surgical trays,B,0,0,0,XXX
A4553,"Nondisp underpads, all sizes",N,0,0,0,XXX
A4554,Disposable underpads,N,0,0,0,XXX
A4555,Ca tx e-stim electr/transduc,I,0,0,0,XXX
A4556,"Electrodes, pair",P,0,0,0,XXX
A4557,"Lead wires, pair",P,0,0,0,XXX
A4558,Conductive gel or paste,P,0,0,0,XXX
A4559,Coupling gel or paste,X,0,0,0,XXX
A4560,Nmes disposable,N,0,0,0,XXX
A4561,"Pessary rubber, any type",X,0,0,0,XXX
A4562,"Pessary, non rubber,any type",X,0,0,0,XXX
A4563,Vag inser rectal control sys,X,0,0,0,XXX
A4565,Slings,X,0,0,0,XXX
A4566,Should sling/vest/abrestrain,I,0,0,0,XXX
A4570,Splint,I,0,0,0,XXX
A4575,Hyperbaric o2 chamber disps,X,0,0,0,XXX
A4580,Cast supplies (plaster),I,0,0,0,XXX
A4590,Special casting material,I,0,0,0,XXX
A4595,Tens suppl 2 lead per month,X,0,0,0,XXX
A4596,Ces system monthly supp,X,0,0,0,XXX
A4600,"Sleeve, inter limb comp dev",X,0,0,0,XXX
A4601,Lith ion non prosth recharge,X,0,0,0,XXX
A4602,Replace lithium battery 1.5v,X,0,0,0,XXX
A4604,Tubing with heating element,X,0,0,0,XXX
A4605,Trach suction cath close sys,X,0,0,0,XXX
A4606,Oxygen probe used w oximeter,X,0,0,0,XXX
A4608,Transtracheal oxygen cath,X,0,0,0,XXX
A4611,Heavy duty battery,X,0,0,0,XXX
A4612,Battery cables,X,0,0,0,XXX
A4613,Battery charger,X,0,0,0,XXX
A4614,Hand-held pefr meter,X,0,0,0,XXX
A4615,Cannula nasal,X,0,0,0,XXX
A4616,Tubing (oxygen) per foot,X,0,0,0,XXX
A4617,Mouth piece,X,0,0,0,XXX
A4618,Breathing circuits,X,0,0,0,XXX
A4619,Face tent,X,0,0,0,XXX
A4620,Variable concentration mask,X,0,0,0,XXX
A4623,Tracheostomy inner cannula,X,0,0,0,XXX
A4624,Tracheal suction tube,X,0,0,0,XXX
A4625,Trach care kit for new trach,X,0,0,0,XXX
A4626,Tracheostomy cleaning brush,X,0,0,0,XXX
A4627,Spacer bag/reservoir,N,0,0,0,XXX
A4628,Oropharyngeal suction cath,X,0,0,0,XXX
A4629,Tracheostomy care kit,X,0,0,0,XXX
A4630,Repl bat t.e.n.s. own by pt,X,0,0,0,XXX
A4633,Uvl replacement bulb,X,0,0,0,XXX
A4634,Replacement bulb th lightbox,X,0,0,0,XXX
A4635,Underarm crutch pad,X,0,0,0,XXX
A4636,Handgrip for cane etc,X,0,0,0,XXX
A4637,Repl tip cane/crutch/walker,X,0,0,0,XXX
A4638,Repl batt pulse gen sys,X,0,0,0,XXX
A4639,Infrared ht sys replcmnt pad,X,0,0,0,XXX
A4640,Alternating pressure pad,X,0,0,0,XXX
A4641,Radiopharm dx agent noc,C,0,0,0,XXX
A4642,In111 satumomab,C,0,0,0,XXX
A4648,Implantable tissue marker,X,0,0,0,XXX
A4649,Surgical supplies,P,0,0,0,XXX
A4650,Implant radiation dosimeter,X,0,0,0,XXX
A4651,Calibrated microcap tube,X,0,0,0,XXX
A4652,Microcapillary tube sealant,X,0,0,0,XXX
A4653,Pd catheter anchor belt,X,0,0,0,XXX
A4657,Syringe w/wo needle,X,0,0,0,XXX
A4660,Sphyg/bp app w cuff and stet,X,0,0,0,XXX
A4663,Dialysis blood pressure cuff,X,0,0,0,XXX
A4670,"Automatic bp monitor, dial",N,0,0,0,XXX
A4671,Disposable cycler set,X,0,0,0,XXX
A4672,"Drainage ext line, dialysis",X,0,0,0,XXX
A4673,Ext line w easy lock connect,X,0,0,0,XXX
A4674,"Chem/antisept solution, 8oz",X,0,0,0,XXX
A4680,"Activated carbon filter, ea",X,0,0,0,XXX
A4690,"Dialyzer, each",X,0,0,0,XXX
A4706,Bicarbonate conc sol per gal,X,0,0,0,XXX
A4707,Bicarbonate conc pow per pac,X,0,0,0,XXX
A4708,Acetate conc sol per gallon,X,0,0,0,XXX
A4709,Acid conc sol per gallon,X,0,0,0,XXX
A4714,Treated water per gallon,X,0,0,0,XXX
A4719,"""y set"" tubing",X,0,0,0,XXX
A4720,Dialysat sol fld vol > 249cc,X,0,0,0,XXX
A4721,Dialysat sol fld vol > 999cc,X,0,0,0,XXX
A4722,Dialys sol fld vol > 1999cc,X,0,0,0,XXX
A4723,Dialys sol fld vol > 2999cc,X,0,0,0,XXX
A4724,Dialys sol fld vol > 3999cc,X,0,0,0,XXX
A4725,Dialys sol fld vol > 4999cc,X,0,0,0,XXX
A4726,Dialys sol fld vol > 5999cc,X,0,0,0,XXX
A4728,"Dialysate solution, non-dex",X,0,0,0,XXX
A4730,"Fistula cannulation set, ea",X,0,0,0,XXX
A4736,"Topical anesthetic, per gram",X,0,0,0,XXX
A4737,Inj anesthetic per 10 ml,X,0,0,0,XXX
A4740,Shunt accessory,X,0,0,0,XXX
A4750,Art or venous blood tubing,X,0,0,0,XXX
A4755,Comb art/venous blood tubing,X,0,0,0,XXX
A4760,"Dialysate sol test kit, each",X,0,0,0,XXX
A4765,Dialysate conc pow per pack,X,0,0,0,XXX
A4766,Dialysate conc sol add 10 ml,X,0,0,0,XXX
A4770,Blood collection tube/vacuum,X,0,0,0,XXX
A4771,Serum clotting time tube,X,0,0,0,XXX
A4772,Blood glucose test strips,X,0,0,0,XXX
A4773,Occult blood test strips,X,0,0,0,XXX
A4774,Ammonia test strips,X,0,0,0,XXX
A4802,Protamine sulfate per 50 mg,X,0,0,0,XXX
A4860,Disposable catheter tips,X,0,0,0,XXX
A4870,Plumb/elec wk hm hemo equip,X,0,0,0,XXX
A4890,Repair/maint cont hemo equip,R,0,0,0,XXX
A4911,Drain bag/bottle,X,0,0,0,XXX
A4913,Misc dialysis supplies noc,X,0,0,0,XXX
A4918,Venous pressure clamp,X,0,0,0,XXX
A4927,Non-sterile gloves,X,0,0,0,XXX
A4928,Surgical mask,X,0,0,0,XXX
A4929,"Tourniquet for dialysis, ea",X,0,0,0,XXX
A4930,"Sterile, gloves per pair",X,0,0,0,XXX
A4931,Reusable oral thermometer,X,0,0,0,XXX
A4932,Reusable rectal thermometer,X,0,0,0,XXX
A5051,Pouch clsd w barr attached,P,0,0,0,XXX
A5052,Clsd ostomy pouch w/o barr,P,0,0,0,XXX
A5053,Clsd ostomy pouch faceplate,P,0,0,0,XXX
A5054,Clsd ostomy pouch w/flange,P,0,0,0,XXX
A5055,Stoma cap,P,0,0,0,XXX
A5056,1 pc ost pouch w filter,X,0,0,0,XXX
A5057,1 pc ost pou w built-in conv,X,0,0,0,XXX
A5061,Pouch drainable w barrier at,P,0,0,0,XXX
A5062,Drnble ostomy pouch w/o barr,P,0,0,0,XXX
A5063,Drain ostomy pouch w/flange,P,0,0,0,XXX
A5071,Urinary pouch w/barrier,P,0,0,0,XXX
A5072,Urinary pouch w/o barrier,P,0,0,0,XXX
A5073,Urinary pouch on barr w/flng,P,0,0,0,XXX
A5081,"Stoma plug or seal, any type",P,0,0,0,XXX
A5082,Continent stoma catheter,P,0,0,0,XXX
A5083,Stoma absorptive cover,X,0,0,0,XXX
A5093,Ostomy accessory convex inse,P,0,0,0,XXX
A5102,Bedside drain btl w/wo tube,P,0,0,0,XXX
A5105,Urinary suspensory,P,0,0,0,XXX
A5112,Urinary leg bag,P,0,0,0,XXX
A5113,Latex leg strap,P,0,0,0,XXX
A5114,Foam/fabric leg strap,P,0,0,0,XXX
A5120,"Skin barrier, wipe or swab",X,0,0,0,XXX
A5121,Solid skin barrier 6x6,P,0,0,0,XXX
A5122,Solid skin barrier 8x8,P,0,0,0,XXX
A5126,Disk/foam pad +or- adhesive,P,0,0,0,XXX
A5131,Appliance cleaner,P,0,0,0,XXX
A5200,Percutaneous catheter anchor,X,0,0,0,XXX
A5500,Diab shoe for density insert,X,0,0,0,XXX
A5501,Diabetic custom molded shoe,X,0,0,0,XXX
A5503,Diabetic shoe w/roller/rockr,X,0,0,0,XXX
A5504,Diabetic shoe with wedge,X,0,0,0,XXX
A5505,Diab shoe w/metatarsal bar,X,0,0,0,XXX
A5506,Diabetic shoe w/off set heel,X,0,0,0,XXX
A5507,Modification diabetic shoe,X,0,0,0,XXX
A5508,Diabetic deluxe shoe,X,0,0,0,XXX
A5510,Compression form shoe insert,X,0,0,0,XXX
A5512,Multi den insert direct form,X,0,0,0,XXX
A5513,Multi den insert custom mold,X,0,0,0,XXX
A5514,Mult den insert dir carv/cam,X,0,0,0,XXX
A6000,Wound warming wound cover,N,0,0,0,XXX
A6010,Collagen based wound filler,X,0,0,0,XXX
A6011,Collagen gel/paste wound fil,X,0,0,0,XXX
A6021,Collagen dressing <=16 sq in,X,0,0,0,XXX
A6022,Collagen drsg>16<=48 sq in,X,0,0,0,XXX
A6023,Collagen dressing >48 sq in,X,0,0,0,XXX
A6024,Collagen dsg wound filler,X,0,0,0,XXX
A6025,"Silicone gel sheet, each",X,0,0,0,XXX
A6154,Wound pouch each,P,0,0,0,XXX
A6196,Alginate dressing <=16 sq in,P,0,0,0,XXX
A6197,Alginate drsg >16 <=48 sq in,P,0,0,0,XXX
A6198,Alginate dressing > 48 sq in,P,0,0,0,XXX
A6199,Alginate drsg wound filler,P,0,0,0,XXX
A6203,Composite drsg <= 16 sq in,P,0,0,0,XXX
A6204,Composite drsg >16<=48 sq in,P,0,0,0,XXX
A6205,Composite drsg > 48 sq in,P,0,0,0,XXX
A6206,Contact layer <= 16 sq in,P,0,0,0,XXX
A6207,Contact layer >16<= 48 sq in,P,0,0,0,XXX
A6208,Contact layer > 48 sq in,P,0,0,0,XXX
A6209,Foam drsg <=16 sq in w/o bdr,P,0,0,0,XXX
A6210,Foam drg >16<=48 sq in w/o b,P,0,0,0,XXX
A6211,Foam drg > 48 sq in w/o brdr,P,0,0,0,XXX
A6212,Foam drg <=16 sq in w/border,P,0,0,0,XXX
A6213,Foam drg >16<=48 sq in w/bdr,P,0,0,0,XXX
A6214,Foam drg > 48 sq in w/border,P,0,0,0,XXX
A6215,Foam dressing wound filler,P,0,0,0,XXX
A6216,Non-sterile gauze<=16 sq in,P,0,0,0,XXX
A6217,Non-sterile gauze>16<=48 sq,P,0,0,0,XXX
A6218,Non-sterile gauze > 48 sq in,P,0,0,0,XXX
A6219,Gauze <= 16 sq in w/border,P,0,0,0,XXX
A6220,Gauze >16 <=48 sq in w/bordr,P,0,0,0,XXX
A6221,Gauze > 48 sq in w/border,P,0,0,0,XXX
A6222,Gauze <=16 in no w/sal w/o b,P,0,0,0,XXX
A6223,Gauze >16<=48 no w/sal w/o b,P,0,0,0,XXX
A6224,Gauze > 48 in no w/sal w/o b,P,0,0,0,XXX
A6228,Gauze <= 16 sq in water/sal,P,0,0,0,XXX
A6229,Gauze >16<=48 sq in watr/sal,P,0,0,0,XXX
A6230,Gauze > 48 sq in water/salne,P,0,0,0,XXX
A6231,Hydrogel dsg<=16 sq in,X,0,0,0,XXX
A6232,Hydrogel dsg>16<=48 sq in,X,0,0,0,XXX
A6233,Hydrogel dressing >48 sq in,X,0,0,0,XXX
A6234,Hydrocolld drg <=16 w/o bdr,P,0,0,0,XXX
A6235,Hydrocolld drg >16<=48 w/o b,P,0,0,0,XXX
A6236,Hydrocolld drg > 48 in w/o b,P,0,0,0,XXX
A6237,Hydrocolld drg <=16 in w/bdr,P,0,0,0,XXX
A6238,Hydrocolld drg >16<=48 w/bdr,P,0,0,0,XXX
A6239,Hydrocolld drg > 48 in w/bdr,P,0,0,0,XXX
A6240,Hydrocolld drg filler paste,P,0,0,0,XXX
A6241,Hydrocolloid drg filler dry,P,0,0,0,XXX
A6242,Hydrogel drg <=16 in w/o bdr,P,0,0,0,XXX
A6243,Hydrogel drg >16<=48 w/o bdr,P,0,0,0,XXX
A6244,Hydrogel drg >48 in w/o bdr,P,0,0,0,XXX
A6245,Hydrogel drg <= 16 in w/bdr,P,0,0,0,XXX
A6246,Hydrogel drg >16<=48 in w/b,P,0,0,0,XXX
A6247,Hydrogel drg > 48 sq in w/b,P,0,0,0,XXX
A6248,Hydrogel drsg gel filler,P,0,0,0,XXX
A6250,Skin seal protect moisturizr,P,0,0,0,XXX
A6251,Absorpt drg <=16 sq in w/o b,P,0,0,0,XXX
A6252,Absorpt drg >16 <=48 w/o bdr,P,0,0,0,XXX
A6253,Absorpt drg > 48 sq in w/o b,P,0,0,0,XXX
A6254,Absorpt drg <=16 sq in w/bdr,P,0,0,0,XXX
A6255,Absorpt drg >16<=48 in w/bdr,P,0,0,0,XXX
A6256,Absorpt drg > 48 sq in w/bdr,P,0,0,0,XXX
A6257,Transparent film <= 16 sq in,P,0,0,0,XXX
